food_name,category,calories,protein,carbs,fat,iron,vitamin_c,is_glutenfree,is_nutfree,is_vegan,nutrient_density,protein_ratio,carb_fat_ratio,energy_density,micronutrient_score,fit
"Potato chips, plain",Potato chips,532.0,6.39,53.83,33.98,1.28,21.6,0,1,0,0.05491557223264541,0.01198874296435272,1.5841205379476768,5.32,34.400000000000006,1
"Potato chips, unsalted",Potato chips,537.0,6.25,59.66,30.3,1.19,22.6,0,1,0,0.0558364312267658,0.011617100371747211,1.9689119170984453,5.37,34.5,1
"Potato sticks, flavored",Potato chips,517.0,6.63,52.77,34.06,2.25,46.8,0,1,0,0.10749034749034747,0.012799227799227798,1.5492792343149058,5.17,69.3,1
"Bread, sweet potato",Yeast breads,241.0,8.64,45.38,2.87,3.14,4.1,0,1,0,0.0656198347107438,0.03570247933884298,15.806339254615118,2.41,35.5,0
"Pie, sweet potato",Cakes and pies,269.0,4.96,41.08,9.75,1.06,10.3,0,1,0,0.060444444444444446,0.01837037037037037,4.212901240898369,2.69,20.900000000000002,0
Sweet potato chips,"Tortilla, corn, other chips",529.0,2.92,56.54,32.19,2.11,0.0,0,1,0,0.009490566037735848,0.0055094339622641505,1.756391538007518,5.29,21.099999999999998,0
Sweet potato paste,"Jams, syrups, toppings",305.0,0.49,75.14,0.34,0.16,3.9,0,1,0,0.014869281045751633,0.0016013071895424837,220.35190615835776,3.05,5.5,0
"Sweet potato, candied",Other red and orange vegetables,187.0,1.18,37.69,3.48,0.31,9.3,0,1,0,0.0573936170212766,0.006276595744680851,10.82734846308532,1.87,12.4,0
"Sweet potato, NFS",Other red and orange vegetables,115.0,1.58,17.14,4.53,0.4,12.4,0,1,0,0.12396551724137932,0.013620689655172415,3.7828293974839986,1.15,16.4,0
"Sweet potato tots, school",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,0,1,0,0.05481865284974093,0.011761658031088083,3.9878607177084446,1.92,15.600000000000001,0
"Sweet potato, casserole or mashed",Other red and orange vegetables,99.0,1.89,17.22,2.56,0.34,10.4,0,1,0,0.1263,0.0189,6.723935962514642,0.99,13.8,0
"Bread, sweet potato, toasted",Yeast breads,265.0,9.5,49.87,3.15,3.45,3.8,0,1,0,0.06296992481203008,0.03571428571428571,15.826721675658522,2.65,38.3,0
"Sweet potato fries, frozen",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,0,1,0,0.05481865284974093,0.011761658031088083,3.9878607177084446,1.92,15.600000000000001,0
"Sweet potato fries, NFS",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,0,1,0,0.05481865284974093,0.011761658031088083,3.9878607177084446,1.92,15.600000000000001,0
"Sweet potato fries, school",Fried vegetables,192.0,2.27,37.45,9.39,0.81,7.5,0,1,0,0.05481865284974093,0.011761658031088083,3.9878607177084446,1.92,15.600000000000001,0
"Sweet potato leaves, raw",Vegetables and Vegetable Products,175.0,2.49,8.82,0.51,0.97,11.0,1,1,1,0.08215909090909092,0.014147727272727274,17.26027397260274,1.75,20.7,1
"Sweet potato, canned, mashed",Vegetables and Vegetable Products,101.0,1.98,23.2,0.2,1.33,5.2,1,1,1,0.08343137254901961,0.019411764705882354,115.4228855721393,1.01,18.5,1
"Sweet potato, cooked, as ingredient",Not included in a food category,82.0,1.65,18.05,0.4,0.42,13.1,0,1,0,0.1827710843373494,0.019879518072289156,45.01246882793017,0.82,17.3,1
"Tomatoes, raw",Tomatoes,20.0,0.82,4.04,0.31,0.22,16.3,1,1,1,0.8257142857142857,0.039047619047619046,12.990353697749196,0.2,18.5,1
Guacamole with tomatoes,"Dips, gravies, other sauces",145.0,1.87,8.09,13.09,0.52,10.5,0,1,0,0.08828767123287672,0.012808219178082192,0.6179818195706974,1.45,15.7,0
"Soup, tomato","Soups, broth-based",19.0,0.65,3.64,0.41,0.44,5.9,0,1,0,0.34950000000000003,0.0325,8.856447688564478,0.19,10.3,0
"Tomatoes, scalloped",Vegetable dishes,110.0,2.7,14.1,4.97,0.89,12.2,0,1,0,0.14225225225225224,0.024324324324324326,2.836451418225709,1.1,21.1,1
"Tomato products, canned, sauce, with tomato tidbits",Vegetables and Vegetable Products,134.0,1.32,7.09,0.39,0.68,21.5,1,1,1,0.17407407407407408,0.009777777777777778,18.132992327365727,1.34,28.3,1
Sun-dried tomatoes,Tomatoes,258.0,14.11,55.76,2.97,9.09,39.2,1,1,1,0.24092664092664096,0.05447876447876448,18.768091551666103,2.58,130.10000000000002,1
